"id","review_text","rating","product_release_id","body_intensity","acidity_intensity","sweetness_intensity","finish_intensity","created_at","updated_at"
15,Strong berry jam flavour. Some nice peanut notes. Nice with espresso. Tried with cold brew but I overextracted it. Will try again. ,4.0,241,0.0,0.0,0.0,0.0,2018-09-21 00:52:26.985,2018-09-21 00:52:26.985
16,Great as a standard high quality espresso. Also delicious as cold brew. ,4.0,325,0.0,0.0,0.0,0.0,2018-09-21 00:55:27.283,2018-09-21 00:55:27.283
17,"When I first opened the bag, it smelled like a fresh bowl of strawberries. I had a little trouble getting my recipe dialed in for these beans, but it was with the trouble. Very very sweet, clean cup. As I expected from the fragrance, strawberry was the most pronounced tasting note (but was not at all overpowering).  ",5.0,221,0.0,0.0,0.0,0.0,2018-09-21 04:15:53.256,2018-09-21 04:15:53.256
18,"This is my go-to blend to recommend to friends and family that are less interested in the craft aspect of coffee and more interested in a consistent and delicious cup. 
Nice, clean, balanced. Nothing to dislike! ",5.0,305,0.0,0.0,0.0,0.0,2018-09-21 04:19:46.664,2018-09-21 04:19:46.664
19,"",3.0,269,0.0,0.0,0.0,0.0,2018-09-21 09:53:45.931,2018-09-21 09:53:45.931
20,"",5.0,156,0.0,0.0,0.0,0.0,2018-09-21 11:11:50.149,2018-09-21 11:11:50.149
21,"",5.0,285,0.0,0.0,0.0,0.0,2018-09-21 11:12:30.833,2018-09-21 11:12:30.833
22,"",5.0,155,0.0,0.0,0.0,0.0,2018-09-21 11:12:52.391,2018-09-21 11:12:52.391
23,"",5.0,153,0.0,0.0,0.0,0.0,2018-09-21 11:13:11.987,2018-09-21 11:13:11.987
24,"",5.0,113,0.0,0.0,0.0,0.0,2018-09-21 11:14:16.539,2018-09-21 11:14:16.539
25,"",5.0,167,0.0,0.0,0.0,0.0,2018-09-21 11:16:11.913,2018-09-21 11:16:11.913
26,"",5.0,126,0.0,0.0,0.0,0.0,2018-09-21 11:16:29.544,2018-09-21 11:16:29.544
27,"",5.0,190,0.0,0.0,0.0,0.0,2018-09-21 11:20:04.184,2018-09-21 11:20:04.184
28,Easy drinking. ,4.0,367,0.0,0.0,0.0,0.0,2018-09-21 11:21:51.343,2018-09-21 11:21:51.343
29,"",3.0,268,0.0,0.0,0.0,0.0,2018-09-21 11:47:12.241,2018-09-21 11:47:12.241
30,"There's a reason why this is a fan favourite - and it def doesn't disappoint one bit. Probably one of the best single origin I've personally had recently. And is definitely a must try and must buy in my books. 

",5.0,137,0.0,0.0,0.0,0.0,2018-09-21 13:12:07.214,2018-09-21 13:12:07.214
31,Super interesting Brazil. Has some of that classic Brazil undertones but fruit and bright sweetness shine through on the top end.,4.0,155,0.0,0.0,0.0,0.0,2018-09-21 14:48:51.296,2018-09-21 14:48:51.296
32,Lovely as a filter and espresso. Perfect example of what a natural can be,5.0,137,0.0,0.0,0.0,0.0,2018-09-21 19:40:09.229,2018-09-21 19:40:09.229
33,"",3.0,269,0.0,0.0,0.0,0.0,2018-09-23 11:37:52.768,2018-09-23 11:37:52.768
34,"",4.0,183,0.0,0.0,0.0,0.0,2018-09-24 22:07:32.948,2018-09-24 22:07:32.948
35,"What a unique and impressive coffee from Brazil. Not a traditional Brazilian in any sense, this coffee is sweet and citrusy and very balanced. Kittel does it again!",4.5,155,0.0,0.0,0.0,0.0,2018-09-25 00:13:56.560,2018-09-25 00:13:56.560
36,Pacamara beans are always intriguing. Even to the sight you can tell this coffee is unique. Chocolate and molasses make for a full body and delicious cup. ,4.0,183,0.0,0.0,0.0,0.0,2018-09-25 00:16:08.796,2018-09-25 00:16:08.796
37,A classic you can always depend on! Perfectly balanced. ,4.0,282,0.0,0.0,0.0,0.0,2018-09-25 00:17:08.343,2018-09-25 00:17:08.343
38,A complex yet classic Ethiopia. Floral and fruity notes make this a perfect summertime coffee. ,4.0,345,0.0,0.0,0.0,0.0,2018-09-25 00:18:20.468,2018-09-25 00:18:20.468
39,"The Hartmann family never disappoints, and this new espresso offering is no exception. ",4.0,273,0.0,0.0,0.0,0.0,2018-09-25 00:19:43.719,2018-09-25 00:19:43.719
40,Floral notes of tea and lavender round this cup out perfectly. ,4.0,264,0.0,0.0,0.0,0.0,2018-09-25 00:21:27.479,2018-09-25 00:21:27.479
41,"Costa Rican coffees always peak my interest, and this one doesn’t disappoint! Complex and balanced. ",4.0,265,0.0,0.0,0.0,0.0,2018-09-25 00:22:41.673,2018-09-25 00:22:41.673
42,"I haven’t had an exceptional coffee from Mexico, and this one basically falls in line. Pretty flat, a little roasty, not my favorite. ",3.0,216,0.0,0.0,0.0,0.0,2018-09-25 00:25:14.938,2018-09-25 00:25:14.938
43,This coffee is outrageous. Bursting with fruity flavor and mouthfeel. It’s a journey!,4.5,353,0.0,0.0,0.0,0.0,2018-09-25 00:26:43.671,2018-09-25 00:26:43.671
44,"A unique Ethiopian, and roasted to perfection. Fruit and florals!",4.0,203,0.0,0.0,0.0,0.0,2018-09-25 00:28:05.239,2018-09-25 00:28:05.239
45,A classic Kenyan. I look forward to this release each year!,4.0,162,0.0,0.0,0.0,0.0,2018-09-25 00:28:31.487,2018-09-25 00:28:31.487
46,"I’ve never been very impressed by a pea berry, but this one is good. A unique varietal and a good cup!",3.5,142,0.0,0.0,0.0,0.0,2018-09-25 00:29:38.882,2018-09-25 00:29:38.882
47,Like a creamsicle. This Tanzanian is tremendous!,4.0,141,0.0,0.0,0.0,0.0,2018-09-25 00:30:22.616,2018-09-25 00:30:22.616
48,"I anticipate this release every year. It’s not often I buy multiple bags of a single coffee, but I buy this every time I see it. An incredibly fruity cup, and I believe this year’s offering was the best yet!",5.0,137,0.0,0.0,0.0,0.0,2018-09-25 00:31:22.787,2018-09-25 00:31:22.787
49,A dependable classic!,4.0,39,0.0,0.0,0.0,0.0,2018-09-25 00:32:04.967,2018-09-25 00:32:04.967
50,A sweet and delicate cup! Simply delicious. ,4.0,30,0.0,0.0,0.0,0.0,2018-09-25 00:53:29.074,2018-09-25 00:53:29.074
51,You can tell this coffee has been picked and processed with care. Terrific offering!,4.0,375,0.0,0.0,0.0,0.0,2018-09-25 01:20:04.684,2018-09-25 01:20:04.684
52,The longer ferment lends to a sweet and lingering finish. Terrific coffee!,4.0,373,0.0,0.0,0.0,0.0,2018-09-25 01:20:57.834,2018-09-25 01:20:57.834
53,Good weather and a good crop produced a terrific cup brewed either filter or espresso. ,4.0,372,0.0,0.0,0.0,0.0,2018-09-25 01:22:14.746,2018-09-25 01:22:14.746
54,"",5.0,225,0.0,0.0,0.0,0.0,2018-09-25 01:32:49.775,2018-09-25 01:39:40.464
55,One of my favorite Canadian roasters does it again with this delicious Guji!,4.0,262,0.0,0.0,0.0,0.0,2018-09-25 01:53:01.061,2018-09-25 01:53:01.061
56,The concord grape is heavy on the nose and comes through nicely on the palette. Truly unique cup!,4.0,104,0.0,0.0,0.0,0.0,2018-09-25 01:56:34.421,2018-09-25 01:56:34.421
57,"",5.0,342,0.0,0.0,0.0,0.0,2018-09-25 02:11:01.197,2018-09-25 02:11:01.197
58,"",4.0,325,0.0,0.0,0.0,0.0,2018-09-25 02:42:06.438,2018-09-25 02:42:06.438
59,"An excellent Costa Rican coffee: well balanced and sweet, with a tasteful amount of acidity. Reminiscent of biting into an orange. Notably, this coffee is made using the yellow honey process. ",5.0,346,0.0,0.0,0.0,0.0,2018-09-25 05:26:21.554,2018-09-25 05:26:21.554
60,A truly unique and complex Ethiopian. My first from Kaito!,4.0,125,0.0,0.0,0.0,0.0,2018-09-26 01:03:47.308,2018-09-26 01:03:47.308
61,"Just as described, rich, nutty, jammy, and perfect for an americano. ",3.5,241,0.0,0.0,0.0,0.0,2018-09-26 01:08:26.983,2018-09-26 01:08:26.983
62,I look forward to San Sebastián every year - this year was no disappointment!,4.0,158,3.0,3.0,3.0,3.0,2018-09-26 01:16:13.037,2019-05-30 10:51:28.392
63,A fine blend that’s perfect for gifting around the holidays. ,3.0,61,0.0,0.0,0.0,0.0,2018-09-26 01:17:11.415,2018-09-26 01:17:11.415
64,This coffee is truly wild - delicious in every way!,4.5,178,0.0,0.0,0.0,0.0,2018-09-26 01:20:52.284,2018-09-26 01:20:52.284
65,A classic washed Ethiopian with a nice tea like finish!,4.0,356,0.0,0.0,0.0,0.0,2018-09-26 01:22:18.481,2018-09-26 01:22:18.481
66,"I’ve only had one Sumatra that has blown me away, and this one wasn’t it. ",2.5,317,0.0,0.0,0.0,0.0,2018-09-26 01:23:18.460,2018-09-26 01:23:18.460
67,Interesting peaberry from El Salvador! I’m liking what I’m seeing from Firebat lately. ,4.0,294,0.0,0.0,0.0,0.0,2018-09-26 01:25:06.826,2018-09-26 01:25:06.826
68,Onyx does it again with a classic natural Ethiopian. Simply terrific!,4.5,221,0.0,0.0,0.0,0.0,2018-09-26 01:26:49.754,2018-09-26 01:26:49.754
69,A staple and a classic. You can always depend on this when you see it in the hopper!,4.0,9,0.0,0.0,0.0,0.0,2018-09-26 01:29:11.868,2018-09-26 01:29:11.868
70,A safe and sweet Ethiopian. Hale comes through again!,4.0,75,0.0,0.0,0.0,0.0,2018-09-26 01:30:37.774,2018-09-26 01:30:37.774
71,Floral and bright but not too fragrant. A very nice example of a washed coffee,4.0,264,0.0,0.0,0.0,0.0,2018-09-26 17:04:03.546,2018-09-26 17:04:03.546
72,"As the description says, last year's harvest was truly memorable. There was a balance of berries and creaminess, as well as a pleasant lasting mouthfeel.

This year, I'm tasting some lighter citrus notes, more like a washed process. The berries come in very late at the end. Overall, still well balanced.",4.5,388,0.0,0.0,0.0,0.0,2018-09-27 12:55:23.695,2018-09-27 12:55:23.695
73,"",5.0,137,0.0,0.0,0.0,0.0,2018-09-27 14:16:37.675,2018-09-27 14:16:37.675
74,Roasted a little too dark for my preference. No nuance to this blend. ,2.5,201,0.0,0.0,0.0,0.0,2018-09-27 15:13:35.060,2018-09-27 15:13:35.060
75,Love this natural Ethiopian from a classic Canadian roaster!,4.0,87,0.0,0.0,0.0,0.0,2018-09-27 15:14:38.007,2018-09-27 15:14:38.007
76,"I don’t usually drink Balzacs, but I was hopeful about this one. Unfortunately, it was the same over roasted profile I’ve come to expect. ",2.5,395,0.0,0.0,0.0,0.0,2018-09-30 00:55:58.784,2018-09-30 00:55:58.784
77,A classic Kenya from a classic Canadian roaster. Delightful!,4.0,385,0.0,0.0,0.0,0.0,2018-09-30 00:57:54.457,2018-09-30 00:57:54.457
78,"This coffee was exceptional. Whenever I see any variety of honey process, I try and grab a bag out of appreciation for the delicate process. This one didn’t disappoint!",4.0,107,0.0,0.0,0.0,0.0,2018-09-30 00:59:12.373,2018-09-30 00:59:12.373
79,An interesting edition of an annual favorite! Detour never disappoints!,4.0,401,0.0,0.0,0.0,0.0,2018-09-30 01:01:00.343,2018-09-30 01:01:00.343
80,The yellow honey process highlights the qualities of this coffee. Sweet and very balanced acidity. ,4.0,346,0.0,0.0,0.0,0.0,2018-09-30 01:03:18.051,2018-09-30 01:03:18.051
81,"A classic and dependable profile for espresso, stands well alone or in milk based drinks. ",4.0,325,0.0,0.0,0.0,0.0,2018-09-30 01:04:19.000,2018-09-30 01:04:19.000
82,"Basic blend here, nothing to write home about. ",2.5,305,0.0,0.0,0.0,0.0,2018-09-30 01:05:26.102,2018-09-30 01:05:26.102
84,"I had a hard time dialing this coffee in, but shout out to Anchored for offering a Mexican bean!",3.0,217,0.0,0.0,0.0,0.0,2018-09-30 19:50:52.329,2018-09-30 19:50:52.329
85,"Really nice Peruvian espresso, great on its own or in a milk based drink. ",4.0,212,0.0,0.0,0.0,0.0,2018-09-30 19:56:06.921,2018-09-30 19:56:06.921
86,"This coffee is over roasted, without nuance, and basically burnt. ",1.5,328,0.0,0.0,0.0,0.0,2018-09-30 19:57:41.627,2018-09-30 19:57:41.627
87,One of my favourite single origin espressos. I’m always excited to see it in the hopper!,4.0,232,0.0,0.0,0.0,0.0,2018-09-30 19:58:27.512,2018-09-30 19:58:27.512
88,Very tea-like body with a wonderful peach overtone and dry pomegranate finish.,3.5,345,0.0,0.0,0.0,0.0,2018-10-01 12:30:32.587,2018-10-01 12:30:32.587
89,Very good! Tried it at east coast coffee madness. Will buy again. ,4.0,132,0.0,0.0,0.0,0.0,2018-10-01 12:59:56.978,2018-10-01 12:59:56.978
90,Had a pour over at east coast coffee madness. Very bright and fruity. ,4.0,135,0.0,0.0,0.0,0.0,2018-10-01 13:12:46.537,2018-10-01 13:12:46.537
91,eccm pour over. Smooth honey flavour with nice peach notes. Very good. Will have again. ,4.0,345,0.0,0.0,0.0,0.0,2018-10-01 13:14:42.858,2018-10-01 13:14:42.858
92,Eccm. Fudgy. Very good. ,5.0,285,0.0,0.0,0.0,0.0,2018-10-01 13:20:20.393,2018-10-01 13:20:20.393
93,Eccm. Chocolatey finish. Pour over ,4.0,312,0.0,0.0,0.0,0.0,2018-10-01 13:38:11.859,2018-10-01 13:38:11.859
94,Eccm pour over. Peachy.,3.5,191,0.0,0.0,0.0,0.0,2018-10-01 14:05:52.634,2018-10-01 14:05:52.634
95,Very juicy with a round mouthfeel. Nice citrus acidity with a lingering chocolate finish.,3.5,190,0.0,0.0,0.0,0.0,2018-10-01 14:07:00.686,2018-10-01 14:07:00.686
96,My favourite coffee of eccm. Pour over. Very fruity scent. ,5.0,204,0.0,0.0,0.0,0.0,2018-10-01 14:14:05.337,2018-10-01 14:14:05.337
97,"",5.0,385,0.0,0.0,0.0,0.0,2018-10-01 15:18:21.436,2018-10-01 15:18:21.436
98,"",5.0,388,0.0,0.0,0.0,0.0,2018-10-01 15:19:02.198,2018-10-01 15:19:02.198
99,"",5.0,137,0.0,0.0,0.0,0.0,2018-10-01 15:19:16.317,2018-10-01 15:19:16.317
100,bursting with flavor. One of my go to's for a great latte,5.0,201,0.0,0.0,0.0,0.0,2018-10-01 17:36:36.950,2018-10-01 17:36:36.950
101,Hudson (and Montreal's) finest espresso for  latte perfection,5.0,192,0.0,0.0,0.0,0.0,2018-10-01 17:38:23.763,2018-10-01 17:38:23.763
102,A great espresso with milk or as a long black. Decent over ice,4.0,273,0.0,0.0,0.0,0.0,2018-10-02 14:33:20.107,2018-10-02 14:33:20.107
103,"So freaking silky. In the best way possible. I’d rate it 6/5 stars if I could. A little less sweet than the natural version they released (duh), but still fruity and floral. ",5.0,220,0.0,0.0,0.0,0.0,2018-10-02 19:09:31.697,2018-10-02 19:09:31.697
104,"Visuel des grains:
Belle uniformité. Une torréfaction un peu plus ""foncé"" que ce à quoi je suis habitué. 

Arômes:
Belle présence de fruits (cerise noire, prune) avec une touche caramélisée qui laisse percevoir une torréfaction plus poussée. 

Saveurs:
C’est ici que tout se passe! Honnêtement ce café m’a tout simplement surpris. La cerise noire est en avant plan avec une belle acidité qui se rapproche de l’orange sanguine. Le corps est sirupeux et propose une finale sucrée qui m’a vraiment étonné, venant d’une torréfaction de ce type. Je dois avouer que ce Kenyen est hors-norme mais vraiment agréable. Une belle découverte!

Recette utilisée:
V60
Ratio: 1:15 (20g dry)
Eau: 300g third wave water @ 55ppm, 93°c
Mouture: Baratza encore #20
Routine: Tetsu Kasuya

",4.0,182,0.0,0.0,0.0,0.0,2018-10-03 00:32:02.942,2018-10-17 22:33:21.908
105,Big and juicy with bright floral top notes that linger,4.5,135,0.0,0.0,0.0,0.0,2018-10-03 18:35:33.011,2018-10-03 18:35:33.011
106,"Tons of stone fruit notes, and very tea like. Classic Ethiopian profile.",5.0,269,0.0,0.0,0.0,0.0,2018-10-03 19:33:30.517,2018-10-03 19:33:30.517
107,"",4.0,264,0.0,0.0,0.0,0.0,2018-10-03 19:34:22.893,2018-10-03 19:34:22.893
108,"Arômes:
Un café super fruité avec des arômes de gelée de raisin et de baies rouge.

Saveurs:
Avec les bon paramètres j’ai réussi à avoir des notes de pâtisserie à la mûre-framboise. Un léger sucre brun qui se marie à merveille à la cerise noire. Le corps est moyen et offre une belle persistance dans sa finale. De plus en plus sucré en refroidissant avec une acidité bien balancé. 

Recette:
V60
Ratio 1:15, 20g dry
Mouture: Baratza encore #19
Eau: 300g third wave water @ 70ppm, 92°c
Routine: Tetsu Kasuya (premier pour 40g, deuxième 80g)


",4.0,379,0.0,0.0,0.0,0.0,2018-10-03 23:06:59.293,2018-10-03 23:09:22.803
109,"",5.0,235,0.0,0.0,0.0,0.0,2018-10-04 10:50:48.270,2018-10-04 10:50:48.270
110,"This is my personal favorite when it comes to espresso from 49th. It was made to cut through milk like a hot knife through butter.

It’s great in a cappuccino and offers a light acidity that plays well with the dark chocolate covered almond and Brazil nut base.",3.0,200,0.0,0.0,0.0,0.0,2018-10-04 12:32:07.579,2018-10-04 12:32:07.579
111,Great coffee. Smooth. Fruity. Great finish. ,5.0,419,0.0,0.0,0.0,0.0,2018-10-04 13:22:11.763,2018-10-04 13:22:11.763
112,"A nice, clean Kenyan coffee, with a nice brightness. Drank as a batch brew",4.0,379,0.0,0.0,0.0,0.0,2018-10-04 14:00:56.009,2018-10-04 14:00:56.009
113,"It has notes of Peach, Bergamot, and Floral, which is a good combination. The Bergamot brings down the flavour of the peach, making it a very even flavour profile. Not too fruity, not too earthy",3.5,269,0.0,0.0,0.0,0.0,2018-10-04 14:05:06.269,2018-10-04 14:05:06.269
114,"",5.0,353,0.0,0.0,0.0,0.0,2018-10-04 15:40:34.619,2018-10-04 15:40:34.619
115,"",4.0,188,0.0,0.0,0.0,0.0,2018-10-04 16:42:55.269,2018-10-04 16:42:55.269
116,"",4.0,325,0.0,0.0,0.0,0.0,2018-10-05 01:50:46.602,2018-10-05 01:50:46.602
117,"",4.0,202,0.0,0.0,0.0,0.0,2018-10-05 16:06:26.107,2018-10-05 16:06:26.107
118,"Delicious as a straight shot (I prefer it this way), or even cut with a bit of milk. Great brightness, with sweet, caramelized, spiced finish!",4.5,325,0.0,0.0,0.0,0.0,2018-10-05 18:25:34.012,2018-10-05 18:25:34.012
119,"A nice filter coffee that starts bright, and develops with some rich fruit flavours",3.5,203,0.0,0.0,0.0,0.0,2018-10-05 19:25:48.840,2018-10-05 19:25:48.840
120,Made on the V60 by Greg! Started with some great strawberry notes that turned into peach as it cooled down. ,4.0,309,0.0,0.0,0.0,0.0,2018-10-05 19:29:42.098,2018-10-05 19:29:42.098
121,"A very nice burst of nutty and chocolate flavours on first sip! It rounds out beautifully with a coconut and orange zest finish. It lingers nicely on the front of your tongue.

Recipe:

Method: Chemex (natural filters)
Brew temp: 95c
Brew time: 4:30
Ratio: 1:17 (25g : 425ml)
Routine: 80g bloom for 45 seconds; 4 pours @ ~85ml each.",4.0,346,0.0,0.0,0.0,0.0,2018-10-06 15:36:46.080,2018-10-06 15:36:54.049
122,"A great espresso which you can use to ease people into the world of brighter specialty coffees. The light cherry acidity to this blend adds a nice pop when consumed as a double shot. The more classic chocolate and caramel flavours will definitely make an impact, especially when put into a cortado. 👌",3.5,132,0.0,0.0,0.0,0.0,2018-10-06 15:41:36.752,2018-10-06 15:41:36.752
123,"An amazing daily driver. We regularly consume this at work and it consistently delivers. Well balanced between chocolate & molasses and lemon & orange. If you tweak your shots a bit, you can pull out some caramel, too. Great straight or with some milk.",4.0,325,0.0,0.0,0.0,0.0,2018-10-06 15:46:16.480,2018-10-06 15:46:16.480
124,Amazing flavour and very popular in our cafe.,5.0,394,0.0,0.0,0.0,0.0,2018-10-06 17:30:11.397,2018-10-06 17:30:11.397
125,Our house filtered coffee. ,5.0,83,0.0,0.0,0.0,0.0,2018-10-06 17:32:43.441,2018-10-06 17:32:43.441
126,"",3.0,189,0.0,0.0,0.0,0.0,2018-10-06 18:20:53.556,2018-10-06 18:20:53.556
127,"Arômes:
Au nez ce café regorge de fruits rouge. La framboise et la fraise sont à l’honneur.

Saveurs:
C’est définitivement un café que je recommande pour les amateurs de Kenyen. L’acidité est présente (pamplemousse) sans être trop agressive pour laisser place à une confiture de baies rouge. Un café qui devient de plus en plus sucré en refroidissant. C’est un punch au fruit, version café. Attendez-vous à une finale qui persiste, au plus grand plaisir des papilles! 

Je suis un amateur de café du Kenya et celui-ci est dans mon top 5 assurément :)",5.0,257,0.0,0.0,0.0,0.0,2018-10-06 22:58:17.900,2018-10-06 22:58:17.900
128,This is one of those coffees where you don’t need to add a thing to it. Very fruity taste makes you want more. ,5.0,411,0.0,0.0,0.0,0.0,2018-10-07 00:10:42.574,2018-10-07 00:10:42.574
129,"",4.0,109,0.0,0.0,0.0,0.0,2018-10-07 03:19:21.564,2018-10-07 03:19:21.564
130,"",5.0,1,0.0,0.0,0.0,0.0,2018-10-07 03:21:53.580,2018-10-07 03:21:53.580
131,"This roast is pushed too dark for my palate. There is a nice raisin undertone, but it quickly fades and finishes to a smoky and bitter finish with a lingering 90% dark chocolate note. If you’re into dark roasts, this is probably up your alley! 😄

Recipe:

Brew method: V60
Brew ratio: 1:15 (25g : 375ml)
Brew temp: 95c
Brew time: 2:30
Routine: 60ml bloom for 30 seconds, three 125ml pours.",2.5,405,0.0,0.0,0.0,0.0,2018-10-07 14:08:53.411,2018-10-07 14:08:53.411
132,"This coffee is very sweet, very well balanced, and has a slightly heavy mouthfeel similar to honey. It also has a very clean rhubarb taste, reminiscent of strawberry-rhubarb pies I had as a child. Absolutely would buy and enjoy again",4.5,427,0.0,0.0,0.0,0.0,2018-10-08 03:04:08.227,2018-10-08 03:04:08.227
133,"Clean raspberry and vanilla notes, with a lighter and juicier body. Fairly sweet, slightly too sour acidity. Still delicious!",3.5,257,0.0,0.0,0.0,0.0,2018-10-08 03:08:18.448,2018-10-08 03:08:18.448
134,"Sweet, slightly tart acidity, lots of juiciness. Dark chocolate note rounds out the taste at the back of the palate. Would be a great first cup of the day",4.0,455,0.0,0.0,0.0,0.0,2018-10-08 03:12:45.144,2018-10-08 03:12:45.144
135,"I typically stick to 'safer' coffees rather than more adventurous ones, but for me this roast walks a perfect line between wild and predictable. I'm not a particular skilled brewer, but I find I can get good acidity and sweetness out of it while still having a consistent, good old cup of coffee.",5.0,448,0.0,0.0,0.0,0.0,2018-10-08 05:28:27.284,2018-10-08 05:28:27.284
136,"Very juicy body with a lovely coconut & raisin overtone that finishes as grapefruit, hazelnut and chocolate. It leaves me with a faint honey in the lingering aftertaste.

Recipe:

Method: V60
Temp: 95c
Time: 4:00
Ratio: 1:16 (25g : 400ml)
Routine: 60ml bloom for 30 seconds, 3 equal pours.",3.5,183,0.0,0.0,0.0,0.0,2018-10-08 13:15:37.302,2018-10-08 13:15:37.302
137,"",5.0,206,0.0,0.0,0.0,0.0,2018-10-08 13:57:06.868,2018-10-08 13:57:06.868
138,"",4.0,182,0.0,0.0,0.0,0.0,2018-10-08 14:40:20.736,2018-10-08 14:40:20.736
139,"Made using the Tetsu method to try to bring out all of the fruity notes. Smooth finish, with nice bright notes and raspberry/chocolate in the back.",4.0,388,0.0,0.0,0.0,0.0,2018-10-08 15:22:26.182,2018-10-08 15:22:26.182
140,"One of my favourite coffees I’ve had recently! Nice rich sweetness with a light acidity. 

V60, Tetsu method",4.0,346,0.0,0.0,0.0,0.0,2018-10-09 02:38:18.632,2018-10-09 02:38:18.632
141,"A good alternative to a darker, more traditional espresso roast! No burnt or rubber tastes commonly associated with “dark” coffees.",3.0,328,0.0,0.0,0.0,0.0,2018-10-09 21:42:13.094,2018-10-09 21:42:13.094
142,"This coffee surprised me. I was expecting the subtleties to be removed with the darkness of the roast, but they were still able to shine through. Dark cherry and dark chocolate were the most prominent notes with a smoky and bitter linger at the end.

To pull out more of the acidity I tweaked my recipe so it would brew quicker than normal to account for the darker roast and it definitely paid off!

Recipe

Method: V60
Ratio: 1:16 (16g : 255ml)
Temp: 95c
Time: 2:30
Grind size: 17 Baratza Encore
Routine: 60ml bloom for 30 seconds, 2 pours of ~100ml.",3.0,411,0.0,0.0,0.0,0.0,2018-10-10 16:04:31.455,2018-10-10 16:04:31.455
143,Really big and really juicy. First sip tasted like grapefruit juice!,4.0,135,0.0,0.0,0.0,0.0,2018-10-11 11:08:07.621,2018-10-11 11:08:07.621
144,"A very sweet coffee which is approachable enough for anyone who is interested in just taking a couple of toes out of their comfort zone. I like this coffee enough to reach for it fairly frequently whereas some of my other beans, although very good I like to switch between. ",4.0,191,0.0,0.0,0.0,0.0,2018-10-11 11:51:11.376,2018-10-11 11:51:11.376
145,"",4.0,458,0.0,0.0,0.0,0.0,2018-10-11 11:53:38.595,2018-10-11 11:53:38.595
146,I have this one,5.0,422,0.0,0.0,0.0,0.0,2018-10-11 14:35:28.951,2018-10-11 14:35:28.951
147,"Great floral notes with a black tea body. Nice stone fruit finish, somewhere between peach and apricot.

Came out nice as a v60 using Tetsu method, or as an Aeropress",4.0,326,0.0,0.0,0.0,0.0,2018-10-12 20:39:13.043,2018-10-12 20:39:13.043
148,"Very interesting savory note to this, without being too vegetative. Espresso prep.",4.0,240,0.0,0.0,0.0,0.0,2018-10-13 14:21:33.134,2018-10-13 14:21:33.134
152,"Definitely one of the most interesting and unique coffees I’ve ever had (and I don’t typically like decaf)! 

Comes out great as a straight espresso, in a milk-based drink, or even as a filter coffee. Very versatile!

Some nice floral notes, with sweet and snappy flavour reminiscent of apple juice! ",5.0,521,0.0,0.0,0.0,0.0,2018-10-15 05:00:20.996,2018-10-15 05:00:20.996
