"id","name","state_or_province_id","created_at","updated_at","region_id"
75,Kore,51,2017-12-01 23:32:51.404,2017-12-01 23:32:51.404,10
76,Alta Mogiana,52,2017-12-02 00:09:33.959,2017-12-02 00:09:33.959,
77,Sede,53,2017-12-23 01:03:35.044,2017-12-23 01:03:35.044,
79,Jinotega,55,2017-12-23 01:30:30.947,2017-12-23 01:30:30.947,
80,Urrao,56,2017-12-23 01:53:12.734,2017-12-23 01:53:12.734,
81,Chelchele,57,2017-12-23 01:59:42.655,2017-12-23 01:59:42.655,
82,Illubabor,27,2017-12-23 02:18:54.986,2017-12-23 02:18:54.986,
83,Gedeo Zone,53,2017-12-23 02:35:50.042,2017-12-23 02:35:50.042,
84,Santa Barbara,36,2017-12-23 02:42:19.887,2017-12-23 02:42:19.887,
85,Tarrazu,39,2017-12-31 17:45:36.704,2017-12-31 17:45:36.704,
86,Lunenburg,32,2017-12-31 18:45:43.286,2017-12-31 18:45:43.286,
87,Edmonton,2,2017-12-31 18:54:37.701,2017-12-31 18:54:37.701,
88,Torrea,58,2017-12-31 19:10:57.849,2017-12-31 19:10:57.849,10
89,Naranjo,29,2017-12-31 19:21:39.113,2017-12-31 19:21:39.113,
90,Yasica Norte,59,2017-12-31 19:43:59.129,2017-12-31 19:43:59.129,
91,Paicol,11,2017-12-31 20:02:03.603,2017-12-31 20:02:03.603,
92,Cuilco,5,2017-12-31 20:08:58.525,2017-12-31 20:08:58.525,
93,Carrizal,60,2017-12-31 20:15:08.987,2017-12-31 20:15:08.987,
94,Sierra De Las Minas,61,2018-01-01 23:32:42.178,2018-01-01 23:32:42.178,
95,San Francisco,62,2018-01-04 23:17:33.771,2018-01-04 23:17:33.771,
96,Chelchele,57,2018-01-09 02:42:33.168,2018-01-09 02:42:33.168,23
97,Jaén,50,2018-05-22 16:27:52.490,2018-05-22 16:27:52.490,27
98,Tokyo,66,2018-05-23 12:18:20.749,2018-05-23 12:18:20.749,
99,Viota,67,2018-05-23 13:57:54.376,2018-05-23 13:57:54.376,
100,Patrocinio,,2018-05-26 01:08:42.309,2018-05-26 01:08:42.309,28
101,Idido,53,2018-05-26 11:26:51.399,2018-05-26 11:26:51.399,23
102,Pasto,72,2018-08-06 23:34:45.167,2018-08-06 23:34:45.167,
103,Haro Wachu,73,2018-08-06 23:59:06.425,2018-08-06 23:59:06.425,35
104,Aleta Wendo,,2018-08-07 00:11:27.383,2018-08-07 00:11:27.383,36
105,Coromandel,30,2018-08-09 00:12:27.405,2018-08-09 00:12:27.405,37
106,Pitalito,11,2018-08-09 00:37:03.356,2018-08-09 00:37:03.356,
107,São Sebastião da Grama,74,2018-08-09 14:41:19.070,2018-08-09 14:41:19.070,38
109,Timana,11,2018-08-15 17:34:12.052,2018-08-15 17:34:12.052,41
110,Burnaby,7,2018-08-16 01:46:23.777,2018-08-16 01:46:23.777,
111,Grecia ,75,2018-08-17 15:31:48.335,2018-08-17 15:31:48.335,15
112,Grecia,76,2018-08-17 15:32:18.046,2018-08-17 15:32:18.046,42
115,Ngozi,,2018-08-22 17:47:26.347,2018-08-22 17:47:26.347,
116,Agaro,,2018-08-23 18:20:09.027,2018-08-23 18:20:09.027,49
117,Guji,,2018-08-24 16:35:26.288,2018-08-24 16:35:26.288,
118,West Guji,,2018-08-24 16:39:05.955,2018-08-24 16:39:05.955,
119,Calca,,2018-08-28 15:58:38.896,2018-08-28 15:58:38.896,
120,Naolinco,80,2018-08-28 18:45:39.430,2018-08-28 18:45:39.430,
121,Bentonville,81,2018-08-30 18:36:56.186,2018-08-30 18:36:56.186,
122,Aponte,72,2018-08-30 19:40:34.206,2018-08-30 19:40:34.206,
123,East London,82,2018-09-02 14:14:24.101,2018-09-02 14:14:24.101,
124,Antigua,,2018-09-02 14:17:26.988,2018-09-02 14:17:26.988,
125,Sherbrooke,6,2018-09-04 14:24:40.278,2018-09-04 14:24:40.278,
126,Santa Clara,,2018-09-07 13:02:01.239,2018-09-07 13:02:01.239,
127,Jericó,,2018-09-08 15:24:48.354,2018-09-08 15:24:48.354,
128,Gedeo Zone,57,2018-09-08 15:36:47.315,2018-09-08 15:36:47.315,
129,Dota Valley,86,2018-09-08 16:02:48.816,2018-09-08 16:02:48.816,
130,Bromont,6,2018-09-13 01:35:23.978,2018-09-13 01:35:23.978,
132,Gesha,,2018-09-13 01:53:41.424,2018-09-13 01:53:41.424,
131,Gesha Village,87,2018-09-13 01:49:56.447,2018-09-13 01:49:56.447,
133,San Juan Norte,69,2018-09-13 02:12:12.029,2018-09-13 02:12:12.029,
134,Oakville,4,2018-09-13 15:44:34.460,2018-09-13 15:44:34.460,
138,Kabeywa,92,2018-09-15 18:03:31.574,2018-09-15 18:03:31.574,
139,Dimtu,,2018-09-15 20:24:47.243,2018-09-15 20:24:47.243,6
522,Tres Ríos,233,2019-11-06 16:24:49.203,2019-11-06 16:24:49.203,
535,Concepción Zacuapa,129,2019-11-17 02:58:18.019,2019-11-17 02:58:18.019,
550,Brisbane,332,2019-12-06 20:59:37.514,2019-12-06 20:59:37.514,
572,Pantan Musara,93,2020-01-01 21:50:54.458,2020-01-01 21:50:54.458,62
595,Birambo,127,2020-04-07 01:16:02.556,2020-04-07 01:16:02.556,
612,Rosario,69,2020-04-15 20:10:49.454,2020-04-15 20:10:49.454,
623,Xico,80,2020-05-15 20:09:15.244,2020-05-15 20:09:15.244,
633,cayayuc,,2020-06-23 19:58:37.042,2020-06-23 19:58:37.042,27
634,Cayayuc,,2020-06-23 19:59:14.499,2020-06-23 19:59:14.499,27
135,Pointe-aux-Trembles,6,2018-09-14 02:50:03.637,2018-09-14 02:50:03.637,
136, San Francisco Ozolotepec,33,2018-09-15 00:43:05.140,2018-09-15 00:43:05.140,
137,Ela Tenecha,,2018-09-15 16:47:22.605,2018-09-15 16:47:22.605,
523,Turku,305,2019-11-06 21:20:41.467,2019-11-06 21:20:41.467,
536,Chelbesa,155,2019-11-19 16:43:53.299,2019-11-19 16:43:53.299,79
551,Aldea El Socorro,31,2019-12-11 16:09:13.987,2019-12-11 16:09:13.987,
573,Santa Lucía,,2020-01-03 01:25:49.603,2020-01-03 01:25:49.603,
579,Sin Net Chaung,349,2020-01-04 01:59:11.854,2020-01-04 01:59:11.854,164
587,Vilcabamba-Quiquira,40,2020-01-16 20:45:10.525,2020-01-16 20:45:10.525,
596,Teruel,11,2020-04-07 19:54:03.124,2020-04-07 19:54:03.124,
597,Algeciras,11,2020-04-07 19:54:29.683,2020-04-07 19:54:29.683,
613,Carleton-sur-Mer,6,2020-04-17 14:51:13.727,2020-04-17 14:51:13.727,
624,La Argentina,11,2020-05-26 16:58:11.163,2020-05-26 16:58:11.163,
635,Uraga Woreda,99,2020-09-12 22:36:44.106,2020-09-12 22:36:44.106,6
636,NGOZI BUSIGA,385,2020-11-26 15:45:54.735,2020-11-26 15:45:54.735,180
140,Ketambe,93,2018-09-15 21:16:43.272,2018-09-15 21:16:43.272,62
141,La Piedra de Rivas,69,2018-09-16 23:01:17.951,2018-09-16 23:01:17.951,
142,Agaro,94,2018-09-16 23:23:28.319,2018-09-16 23:23:28.319,6
143,San Felipe de Jesus,,2018-09-16 23:32:20.961,2018-09-16 23:32:20.961,
144,Gigante,11,2018-09-16 23:36:52.143,2018-09-16 23:36:52.143,
145,Acton,95,2018-09-16 23:47:30.551,2018-09-16 23:47:30.551,
146,Newcastle,96,2018-09-17 00:20:23.102,2018-09-17 00:20:23.102,
147,Buenos Aires,72,2018-09-17 00:22:31.834,2018-09-17 00:22:31.834,
149,Markham,4,2018-09-19 21:50:31.831,2018-09-19 21:50:31.831,
150,San Adolfo,,2018-09-19 22:09:14.846,2018-09-19 22:09:14.846,
151,San Marcos,69,2018-09-20 23:14:39.845,2018-09-20 23:14:39.845,
152,Llano Bonito,29,2018-09-21 00:05:14.109,2018-09-21 00:05:14.109,
153,Yirgacheffe,,2018-09-23 23:48:31.507,2018-09-23 23:48:31.507,23
154,Yirgacheffe,97,2018-09-23 23:48:58.820,2018-09-23 23:48:58.820,
155,Yirgacheffe,98,2018-09-24 00:01:11.619,2018-09-24 00:01:11.619,
156,Buku,99,2018-09-25 01:06:42.404,2018-09-25 01:06:42.404,6
157,Ancaster,4,2018-09-28 01:28:34.817,2018-09-28 01:28:34.817,
158,Los Angeles,62,2018-09-28 12:54:30.614,2018-09-28 12:54:30.614,
159,Santa Cruz,62,2018-09-28 13:03:17.319,2018-09-28 13:03:17.319,
160,San Pedro La Laguna,101,2018-09-30 12:50:44.962,2018-09-30 12:50:44.962,
161,Pyin Oo Lwin,,2018-10-03 02:34:13.061,2018-10-03 02:34:13.061,70
162,San Juanillo,29,2018-10-07 03:49:48.417,2018-10-07 03:49:48.417,
163,Prévost,6,2018-10-07 03:57:22.707,2018-10-07 03:57:22.707,
164,Windsor,4,2018-10-07 04:06:11.951,2018-10-07 04:06:11.951,
166,Zumba,105,2018-10-07 04:38:40.583,2018-10-07 04:38:40.583,
167,Mesina,106,2018-10-07 15:20:10.345,2018-10-07 15:20:10.345,6
168,Tetu,3,2018-10-08 12:29:30.808,2018-10-08 12:29:30.808,
169,Guadalupe Mirama,33,2018-10-10 13:07:00.256,2018-10-10 13:07:00.256,
170,Ocotepeque,91,2018-10-10 14:43:48.380,2018-10-10 14:43:48.380,
171,Berlin,110,2018-10-13 02:00:48.698,2018-10-13 02:00:48.698,
172,Paso Llano,111,2018-10-13 02:23:13.518,2018-10-13 02:23:13.518,
173,Poás Volcano,29,2018-10-13 02:29:50.456,2018-10-13 02:29:50.456,
174,Kibugu,46,2018-10-13 02:50:16.659,2018-10-13 02:50:16.659,
175,Nensebo,113,2018-10-13 03:30:40.534,2018-10-13 03:30:40.534,6
176,Mississauga,4,2018-10-17 13:34:17.450,2018-10-17 13:34:17.450,
177,Kercha,106,2018-10-17 13:36:21.265,2018-10-17 13:36:21.265,
178,Alto Ihuamaca,,2018-10-17 13:43:24.513,2018-10-17 13:43:24.513,27
179,Quito,,2018-10-17 13:47:53.159,2018-10-17 13:47:53.159,76
180,Buesaco,,2018-10-17 13:56:05.963,2018-10-17 13:56:05.963,77
181,Zipacón,67,2018-10-17 14:27:01.731,2018-10-17 14:27:01.731,
182,El Túnel,114,2018-10-17 15:03:33.782,2018-10-17 15:03:33.782,
183,Buena Vista,5,2018-10-17 16:05:24.438,2018-10-17 16:05:24.438,
184,Etobicoke,4,2018-10-20 20:32:06.761,2018-10-20 20:32:06.761,
185,Pedregal,42,2018-10-21 19:04:55.302,2018-10-21 19:04:55.302,
186,Zamora,118,2018-10-22 00:02:10.877,2018-10-22 00:02:10.877,
187,Fernie,7,2018-10-22 01:20:16.421,2018-10-22 01:20:16.421,
188,Jericó,56,2018-10-24 13:44:58.201,2018-10-24 13:44:58.201,
189,Cordillera del Bálsamo,116,2018-10-24 17:06:39.963,2018-10-24 17:06:39.963,
190,Woditi,,2018-10-25 02:07:27.822,2018-10-25 02:07:27.822,82
191,Los Naranjos,123,2018-10-25 02:46:11.531,2018-10-25 02:46:11.531,
193,Södermalm,124,2018-10-26 12:22:17.572,2018-10-26 12:22:17.572,
195,Santa Maria de Dota,,2018-10-26 12:25:03.955,2018-10-26 12:25:03.955,85
196,Santa Ana,,2018-10-26 12:33:16.829,2018-10-26 12:33:16.829,86
197,Las Cochas,72,2018-10-30 22:37:24.483,2018-10-30 22:37:24.483,
198,Linden,2,2018-10-30 22:43:33.987,2018-10-30 22:43:33.987,
199,Trujillo,125,2018-10-30 22:54:07.647,2018-10-30 22:54:07.647,
200,Frederiksberg,126,2018-10-31 12:34:21.127,2018-10-31 12:34:21.127,
201,Ottawa,4,2018-10-31 13:25:39.141,2018-10-31 13:25:39.141,
202,Hti Ta Maung,102,2018-10-31 14:12:08.756,2018-10-31 14:12:08.756,
203,San José de Los Andes,36,2018-10-31 15:23:14.113,2018-10-31 15:23:14.113,
204,Yabitu Tome,106,2018-10-31 16:18:32.906,2018-10-31 16:18:32.906,6
205,Ibagué,71,2018-10-31 16:30:27.073,2018-10-31 16:30:27.073,
206,Ojo de Agua,29,2018-11-03 18:46:40.165,2018-11-03 18:46:40.165,
207,Pu'er,128,2018-11-03 23:05:50.931,2018-11-03 23:05:50.931,
208,Richmond Hill,4,2018-11-07 13:35:53.309,2018-11-07 13:35:53.309,
209,Copey,69,2018-11-07 19:04:16.709,2018-11-07 19:04:16.709,
210,Lourdes de Naranjo,29,2018-11-07 20:56:25.688,2018-11-07 20:56:25.688,42
212,Anderacha,,2018-11-07 21:13:40.140,2018-11-07 21:13:40.140,90
213,Aferara,,2018-11-10 16:58:44.140,2018-11-10 16:58:44.140,35
214,El Progreso,116,2018-11-13 01:54:12.477,2018-11-13 01:54:12.477,
215,El Guachipilin,5,2018-11-13 02:03:57.249,2018-11-13 02:03:57.249,
216,Gishamwana Island,,2018-11-13 02:29:21.781,2018-11-13 02:29:21.781,
217,Ozolotepec,,2018-11-14 16:55:07.147,2018-11-14 16:55:07.147,
218,Timbio,,2018-11-14 18:09:49.848,2018-11-14 18:09:49.848,
219,San Marcos,,2018-11-15 01:48:12.279,2018-11-15 01:48:12.279,
220,Wush Wush,,2018-11-15 03:51:47.129,2018-11-15 03:51:47.129,82
221,Cruz Quemada,5,2018-11-17 15:07:12.872,2018-11-17 15:07:12.872,
222,Lévis,6,2018-11-17 15:26:36.656,2018-11-17 15:26:36.656,
223,Jaltenango de la Paz,24,2018-11-18 21:17:12.296,2018-11-18 21:17:12.296,
224,Tore,,2018-11-18 21:45:02.700,2018-11-18 21:45:02.700,10
225,Alaka Village,106,2018-11-21 20:42:34.270,2018-11-21 20:42:34.270,6
227,Gatundu,34,2018-11-21 21:16:11.679,2018-11-21 21:16:11.679,
228,Oporapa,11,2018-11-21 21:24:59.745,2018-11-21 21:24:59.745,
229,Shakiso,106,2018-11-21 21:27:17.084,2018-11-21 21:27:17.084,6
230,Negele Gorbitu,97,2018-11-21 22:28:37.209,2018-11-21 22:28:37.209,
231,Usulatan,,2018-11-23 13:28:50.090,2018-11-23 13:28:50.090,
233,Columbia,134,2018-11-28 17:28:36.272,2018-11-28 17:28:36.272,
234,Greenville,134,2018-11-28 17:32:18.837,2018-11-28 17:32:18.837,
235,Mikuba,22,2018-11-28 19:36:19.238,2018-11-28 19:36:19.238,
236,Barca,111,2018-11-30 13:59:24.450,2018-11-30 13:59:24.450,
237,Potrerillos Arriba,119,2018-12-01 22:04:26.265,2018-12-01 22:04:26.265,
238,Los Naranjos,119,2018-12-01 22:07:55.715,2018-12-01 22:07:55.715,
239,Palmira,119,2018-12-01 22:08:27.361,2018-12-01 22:08:27.361,
240,San Lorenzo El Cubo,25,2018-12-01 22:57:33.301,2018-12-01 22:57:33.301,
241,Cusco,,2018-12-01 23:26:59.127,2018-12-01 23:26:59.127,
243,Bule Hora,73,2018-12-05 15:35:56.691,2018-12-05 15:35:56.691,
244,San Ramón,29,2018-12-05 15:55:37.883,2018-12-05 15:55:37.883,
245,Alajuela,29,2018-12-08 16:01:53.318,2018-12-08 16:01:53.318,
246,Kaimoini,3,2018-12-08 16:16:53.085,2018-12-08 16:16:53.085,
247,Posses,30,2018-12-08 18:11:15.237,2018-12-08 18:11:15.237,39
248,Chekata,106,2018-12-08 18:38:06.380,2018-12-08 18:38:06.380,6
192,Rioblanco,71,2018-10-25 22:39:19.481,2018-10-25 22:39:19.481,
476,Gembo,184,2019-09-17 15:02:22.512,2019-09-17 15:02:22.512,
249,San Isidro,69,2018-12-08 18:46:02.283,2018-12-08 18:46:02.283,44
253,Cobble Hill ,7,2018-12-17 16:35:50.206,2018-12-17 16:35:50.206,
524,Des Moines,306,2019-11-08 18:35:42.217,2019-11-08 18:35:42.217,
552,Bandung,309,2019-12-11 21:42:19.831,2019-12-11 21:42:19.831,
574,La Leona,266,2020-01-03 20:30:03.074,2020-01-03 20:30:03.074,
575,Gurmah,265,2020-01-03 22:20:06.178,2020-01-03 22:20:06.178,
584,Yiwu,357,2020-01-15 21:28:58.120,2020-01-15 21:28:58.120,167
598,Timana,11,2020-04-07 19:55:23.005,2020-04-07 19:55:23.005,
614,Getsemani,111,2020-04-22 02:53:59.247,2020-04-22 02:53:59.247,
625,Peñas Negras,33,2020-05-26 19:16:15.088,2020-05-26 19:16:15.088,
250,North Vancouver,7,2018-12-10 02:43:08.443,2018-12-10 02:43:08.443,
251,Las Tolas,138,2018-12-12 02:28:16.807,2018-12-12 02:28:16.807,
258,Benti Nenqa,106,2018-12-22 21:37:41.858,2018-12-22 21:37:41.858,6
525,Tama,306,2019-11-08 18:37:18.538,2019-11-08 18:37:18.538,
537,Kianyaga,,2019-11-20 20:22:14.262,2019-11-20 20:22:14.262,
538,Ngiriambu,,2019-11-20 20:22:48.042,2019-11-20 20:22:48.042,
539,Guama,,2019-11-20 20:23:29.160,2019-11-20 20:23:29.160,
540,Kerugoya,,2019-11-20 20:25:03.330,2019-11-20 20:25:03.330,
541,Rwama,,2019-11-20 20:26:48.574,2019-11-20 20:26:48.574,
542,Mwirua,,2019-11-20 20:28:58.304,2019-11-20 20:28:58.304,
553,Weninggalih,334,2019-12-11 22:01:47.124,2019-12-11 22:01:47.124,160
554,Bajawa,336,2019-12-13 21:16:03.815,2019-12-13 21:16:03.815,161
558,Bogotá,339,2019-12-18 14:49:09.363,2019-12-18 14:49:09.363,
576,Berlin,71,2020-01-03 22:28:49.791,2020-01-03 22:28:49.791,
581,Queens,26,2020-01-07 18:40:50.458,2020-01-07 18:40:50.458,
588,Alto Tambopata,,2020-01-16 20:48:10.845,2020-01-16 20:48:10.845,
599,Daye,364,2020-04-13 20:07:18.879,2020-04-13 20:07:18.879,45
615,Dumerso,155,2020-04-29 02:31:00.818,2020-04-29 02:31:00.818,79
626,Saint-Jean-sur-Richelieu,6,2020-05-27 19:58:25.651,2020-05-27 19:58:25.651,
252,Phu Thap Boek,139,2018-12-12 02:36:10.271,2018-12-12 02:36:10.271,
526,Płock,307,2019-11-08 21:26:47.063,2019-11-08 21:26:47.063,
543,Shangi,140,2019-11-22 18:48:29.806,2019-11-22 18:48:29.806,
555,Chelelektu,97,2019-12-13 21:25:49.762,2019-12-13 21:25:49.762,79
556,Rutabo,337,2019-12-13 21:35:50.447,2019-12-13 21:35:50.447,162
559,Lansing,340,2019-12-18 15:10:51.964,2019-12-18 15:10:51.964,
565,El Coyegual,5,2019-12-19 16:11:15.164,2019-12-19 16:11:15.164,
577,La Coipa,50,2020-01-04 01:41:10.296,2020-01-04 01:41:10.296,
580,Suyo,350,2020-01-04 19:12:49.951,2020-01-04 19:12:49.951,116
589,Loja,,2020-01-16 23:30:46.775,2020-01-16 23:30:46.775,
590,Chesapeake,293,2020-01-17 18:27:44.227,2020-01-17 18:27:44.227,
600,Guelph,4,2020-04-14 18:28:17.125,2020-04-14 18:28:17.125,
601,Port Credit,4,2020-04-14 18:32:14.526,2020-04-14 18:32:14.526,
616,Lambari,30,2020-05-03 20:54:15.303,2020-05-03 20:54:15.303,152
627,Shantawene Village,376,2020-05-31 20:47:34.033,2020-05-31 20:47:34.033,79
254,Karatina,3,2018-12-17 16:42:58.196,2018-12-17 16:42:58.196,
255,San Miguel Pochuta,31,2018-12-20 14:21:00.121,2018-12-20 14:21:00.121,
527,Ilomba,100,2019-11-08 21:49:36.779,2019-11-08 21:49:36.779,
544,Austin,190,2019-11-27 13:36:24.879,2019-11-27 13:36:24.879,
557,Kiriaini,338,2019-12-15 21:56:36.640,2019-12-15 21:56:36.640,
560,Bay City,340,2019-12-18 15:12:18.337,2019-12-18 15:12:18.337,
563,Los Limos,107,2019-12-19 15:08:21.887,2019-12-19 15:08:21.887,
568,Haro Kuriso,73,2019-12-19 19:22:53.454,2019-12-19 19:22:53.454,35
578,Sin Net Chaung,102,2020-01-04 01:58:44.506,2020-01-04 01:58:44.506,
582,Las Cochitas,72,2020-01-14 16:46:44.756,2020-01-14 16:46:44.756,
586,Mancuari,40,2020-01-16 20:44:50.973,2020-01-16 20:44:50.973,
591,Staunton,293,2020-01-17 18:29:23.014,2020-01-17 18:29:23.014,
602,Gatineau,6,2020-04-14 18:57:28.803,2020-04-14 18:57:28.803,
603,Aylmer,6,2020-04-14 18:59:07.613,2020-04-14 18:59:07.613,
604,St. Catharines,4,2020-04-14 19:05:48.313,2020-04-14 19:05:48.313,
605,Espanola,4,2020-04-14 19:10:46.826,2020-04-14 19:10:46.826,
617,Munombe,157,2020-05-04 00:30:00.240,2020-05-04 00:30:00.240,
628,La Pradera,377,2020-05-31 21:10:29.513,2020-05-31 21:10:29.513,176
256,Blainville,6,2018-12-20 16:31:51.858,2018-12-20 16:31:51.858,
528,Helsinki,310,2019-11-13 20:46:22.648,2019-11-13 20:46:22.648,
529,Tallinn,311,2019-11-13 21:10:24.320,2019-11-13 21:10:24.320,
545,Santa Fe,329,2019-12-01 20:01:38.104,2019-12-01 20:01:38.104,
561,Singapore,341,2019-12-18 16:09:34.363,2019-12-18 16:09:34.363,
567,West Jakarta,343,2019-12-19 19:15:24.223,2019-12-19 19:15:24.223,
569,Minneapolis,344,2019-12-27 22:58:24.356,2019-12-27 22:58:24.356,
570,Kona,345,2019-12-27 23:49:07.622,2019-12-27 23:49:07.622,
583,Karango Village,127,2020-01-14 20:14:14.670,2020-01-14 20:14:14.670,
606,St. Thomas,4,2020-04-14 19:31:43.980,2020-04-14 19:31:43.980,
607,Cambridge,4,2020-04-14 19:35:00.330,2020-04-14 19:35:00.330,
618,Shaia'an,372,2020-05-12 00:07:59.497,2020-05-12 00:07:59.497,173
629,Iyula,,2020-05-31 22:01:11.641,2020-05-31 22:01:11.641,131
257,Cachoeirinha Valley,52,2018-12-20 18:08:16.347,2018-12-20 18:08:16.347,
259,Kigeyo,140,2019-01-02 18:08:35.716,2019-01-02 18:08:35.716,
260,Aarhus,141,2019-01-03 21:05:31.678,2019-01-03 21:05:31.678,
261,Kindeng,142,2019-01-04 01:09:09.554,2019-01-04 01:09:09.554,
262,Kaproron,144,2019-01-07 02:57:15.261,2019-01-07 02:57:15.261,
263,Palestina ,11,2019-01-08 17:53:12.563,2019-01-08 17:53:12.563,
264,Rosersberg,147,2019-01-09 03:30:54.711,2019-01-09 03:30:54.711,
265,Cobble Hill,7,2019-01-09 03:41:45.256,2019-01-09 03:41:45.256,
266,Antwerp,150,2019-01-12 14:05:04.635,2019-01-12 14:05:04.635,
267,Amsterdam,151,2019-01-12 14:05:33.485,2019-01-12 14:05:33.485,
268,Muranga,,2019-01-12 14:10:07.189,2019-01-12 14:10:07.189,
269,Pacayas,107,2019-01-12 14:18:12.772,2019-01-12 14:18:12.772,
270,Brussels,152,2019-01-12 14:26:55.528,2019-01-12 14:26:55.528,
271,Gahahe,22,2019-01-12 14:33:24.487,2019-01-12 14:33:24.487,
272,Lipululu,55,2019-01-15 02:19:22.429,2019-01-15 02:19:22.429,
273,Oslo,154,2019-01-17 02:12:10.639,2019-01-17 02:12:10.639,
274,Grünerløkka,154,2019-01-17 02:14:24.833,2019-01-17 02:14:24.833,
